,solution_value
"(28, 0, 2)",-0.3793103448275862
"(28, 0, 3)",0.002692307692307692
"(28, 0, 4)",-0.012307692307692308
"(28, 0, 5)",0.008275862068965517
"(29, 0, 0)",6.293269230769231
"(29, 0, 1)",8.23076923076923
"(29, 0, 2)",-0.1724137931034483
"(29, 0, 3)",0.002692307692307692
"(29, 0, 4)",-0.012307692307692308
"(29, 0, 5)",0.008275862068965517
"(30, 0, 0)",6.360576923076923
"(30, 0, 1)",7.9230769230769225
"(30, 0, 2)",0.034482758620689724
"(30, 0, 3)",0.002692307692307692
"(30, 0, 4)",-0.012307692307692308
"(30, 0, 5)",0.00827586206896552
"(31, 0, 0)",6.427884615384616
"(31, 0, 1)",7.615384615384615
"(31, 0, 2)",0.2413793103448277
"(31, 0, 3)",0.002692307692307692
"(31, 0, 4)",-0.012307692307692308
"(31, 0, 5)",0.008275862068965517
"(32, 0, 0)",6.495192307692308
"(32, 0, 1)",7.3076923076923075
"(32, 0, 2)",0.44827586206896564
"(32, 0, 3)",0.002692307692307692
"(32, 0, 4)",-0.012307692307692308
"(32, 0, 5)",0.00827586206896552
"(33, 0, 0)",6.562500000000001
"(33, 0, 1)",7.0
"(33, 0, 2)",0.6551724137931036
"(33, 0, 3)",0.002692307692307692
"(33, 0, 4)",-0.012307692307692308
"(33, 0, 5)",0.008275862068965517
"(34, 0, 0)",6.629807692307693
"(34, 0, 1)",6.6923076923076925
"(34, 0, 2)",0.8620689655172415
"(34, 0, 3)",0.002692307692307692
"(34, 0, 4)",-0.012307692307692308
"(34, 0, 5)",0.008275862068965516
"(35, 0, 0)",6.697115384615386
"(35, 0, 1)",6.384615384615385
"(35, 0, 2)",1.0689655172413794
"(35, 0, 3)",0.002692307692307692
"(35, 0, 4)",-0.012307692307692308
"(35, 0, 5)",0.008275862068965516
"(36, 0, 0)",6.764423076923078
"(36, 0, 1)",6.0769230769230775
"(36, 0, 2)",1.2758620689655173
"(36, 0, 3)",0.002692307692307692
"(36, 0, 4)",-0.012307692307692308
"(36, 0, 5)",0.008275862068965516
"(37, 0, 0)",6.831730769230771
"(37, 0, 1)",5.76923076923077
"(37, 0, 2)",1.4827586206896552
"(37, 0, 3)",0.002692307692307692
"(37, 0, 4)",-0.012307692307692308
"(37, 0, 5)",0.008275862068965516
"(38, 0, 0)",6.8990384615384635
"(38, 0, 1)",5.461538461538463
"(38, 0, 2)",1.6896551724137931
"(38, 0, 3)",0.002692307692307692
"(38, 0, 4)",-0.012307692307692308
"(38, 0, 5)",0.008275862068965516
"(39, 0, 0)",6.966346153846156
"(39, 0, 1)",5.153846153846155
"(39, 0, 2)",1.896551724137931
"(39, 0, 3)",0.002692307692307692
"(39, 0, 4)",-0.012307692307692308
"(39, 0, 5)",0.008275862068965516
"(40, 0, 0)",7.0
"(40, 0, 1)",5.0
"(40, 0, 2)",2.0
"(40, 0, 3)",0.0
"(40, 0, 4)",0.0
"(40, 0, 5)",0.0
