,solution_value
"(28, 0, 0)",6.373397435897443
"(28, 0, 1)",8.538461538461538
"(28, 0, 2)",-0.3793103448275862
"(28, 0, 3)",0.0021794871794871707
"(28, 0, 4)",-0.012307692307692304
"(28, 0, 5)",0.008275862068965517
"(29, 0, 0)",6.427884615384622
"(29, 0, 1)",8.23076923076923
"(29, 0, 2)",-0.1724137931034483
"(29, 0, 3)",0.0021794871794871707
"(29, 0, 4)",-0.012307692307692311
"(29, 0, 5)",0.008275862068965517
"(30, 0, 0)",6.482371794871801
"(30, 0, 1)",7.923076923076922
"(30, 0, 2)",0.034482758620689724
"(30, 0, 3)",0.0021794871794871707
"(30, 0, 4)",-0.012307692307692308
"(30, 0, 5)",0.00827586206896552
"(31, 0, 0)",6.53685897435898
"(31, 0, 1)",7.615384615384614
"(31, 0, 2)",0.2413793103448277
"(31, 0, 3)",0.0021794871794871707
"(31, 0, 4)",-0.012307692307692308
"(31, 0, 5)",0.008275862068965517
"(32, 0, 0)",6.591346153846159
"(32, 0, 1)",7.307692307692307
"(32, 0, 2)",0.44827586206896564
"(32, 0, 3)",0.0021794871794871707
"(32, 0, 4)",-0.012307692307692311
"(32, 0, 5)",0.00827586206896552
"(33, 0, 0)",6.6458333333333375
"(33, 0, 1)",6.999999999999999
"(33, 0, 2)",0.6551724137931036
"(33, 0, 3)",0.0021794871794871707
"(33, 0, 4)",-0.012307692307692315
"(33, 0, 5)",0.008275862068965517
"(34, 0, 0)",6.700320512820516
"(34, 0, 1)",6.692307692307692
"(34, 0, 2)",0.8620689655172415
"(34, 0, 3)",0.0021794871794871707
"(34, 0, 4)",-0.012307692307692318
"(34, 0, 5)",0.008275862068965516
"(35, 0, 0)",6.754807692307695
"(35, 0, 1)",6.384615384615383
"(35, 0, 2)",1.0689655172413794
"(35, 0, 3)",0.0021794871794871707
"(35, 0, 4)",-0.012307692307692316
"(35, 0, 5)",0.008275862068965516
"(36, 0, 0)",6.809294871794874
"(36, 0, 1)",6.076923076923076
"(36, 0, 2)",1.2758620689655173
"(36, 0, 3)",0.0021794871794871707
"(36, 0, 4)",-0.012307692307692315
"(36, 0, 5)",0.008275862068965516
"(37, 0, 0)",6.863782051282053
"(37, 0, 1)",5.769230769230768
"(37, 0, 2)",1.4827586206896552
"(37, 0, 3)",0.0021794871794871707
"(37, 0, 4)",-0.012307692307692313
"(37, 0, 5)",0.008275862068965516
"(38, 0, 0)",6.918269230769232
"(38, 0, 1)",5.461538461538461
"(38, 0, 2)",1.6896551724137931
"(38, 0, 3)",0.0021794871794871707
"(38, 0, 4)",-0.012307692307692313
"(38, 0, 5)",0.008275862068965516
"(39, 0, 0)",6.972756410256411
"(39, 0, 1)",5.153846153846153
"(39, 0, 2)",1.896551724137931
"(39, 0, 3)",0.0021794871794871707
"(39, 0, 4)",-0.012307692307692311
"(39, 0, 5)",0.008275862068965516
"(40, 0, 0)",7.0
"(40, 0, 1)",5.0
"(40, 0, 2)",2.0
"(40, 0, 3)",0.0
"(40, 0, 4)",0.0
"(40, 0, 5)",0.0
